"One MILLION Powers","一百万能量"
"The wyrms go in, the wyrms go out...","龙来龙往……"
"My Springaline, My Springaline","我的春涌水晶！我的春涌水晶！"
"Charged","充能"
"It's got a fancy Ponder!","它有一个花哨的思索"
"&bAssembly IO Units&r control the input and output of the recipes. They must be able to reach an inventory, such as a chest, and the assembly platform. They can reach anything with a 3x3 area. ","&b装配台IO设备&r控制合成配方的输入和输出。它们得能触及到容器（如箱子）和装配平台，工作范围为3x3。"
"&bFluix Crystals&r can be created expensively in the dissolution chamber at first, and later more efficiently once you've unlocked the Quantum Assembler.","&b福鲁伊克斯水晶&r一开始可以在化学溶解室中昂贵地制造出来，之后可在量子装配机就能更高效地制作它"
"With your newly aquired crushed endstone and obsidian dust you can craft purple chalk for upgraded rituals.","利用新获得的粉碎末地石和黑曜石粉，您可以制作用于升级仪式的紫色粉笔"
"Once it's built, power it with &6Deuterium&r and &6Tritium&r, and &6jumpstart it with a Laser&r aimed at the Focus Matrix! It costs a burst of &6400 MFE&r to jumpstart, so make sure you're ready!","建造后，用&6氘&r和&6氚&r为它供能，然后&6用激光&r瞄准聚焦矩阵启动！它需要&6400MFE&r来启动，所以确保你准备好了！"
"Visit a Sky Village","造访天空村庄"
"Sifting Dirt has a chance of producing &bPasture Seeds&r, which can &6turn Dirt into Grass&r.","筛泥土有几率产生&b草地之种&r，可以&6将泥土变成草方块&r。"
"The &bMana Pool&r can store mana directed at it with a mana spreader or pulled from with a mana spreader next to it. You'll need one to start storing mana and performing mana infusions.","&b魔力池&r可以用魔力发射器来储存或提取魔力。你需要存储魔力以进行魔力灌注。"
"Your first method of generating &bSource&r for your &eArs Magica&r. The &bVitalic Sourcelink&r will capture the souls of nearby mobs that die and transfer them into a nearby source jar.","&e新生魔艺&r中生产&b魔源&r的第一种方法——&b生死魔源通道&r。它能捕捉周围死亡生物的灵魂并将其传输到附近的魔源罐中。"
"&bSourcestone&r is a nice decorative block, and is also used in several recipes.","&b魔源石&r是一个很好的装饰性方块，也用于几种配方。"
"Use them on the side of a line of blocks, and it will place on all blocks on the line.","在一行方块的侧面使用，它就会放置该行上的所有方块。"
"The &bGlass Blower&r allows you to customize all kinds of glass blocks. Very &ca&6e&es&at&3h&9e&5t&ci&6c&r.","&b玻璃匠工作台&r允许你自定义所有类型的玻璃方块。非常的&c丰&6富&e又&a多&3彩&9对&5不&c对&6啊&r。"
"&bElite Factories&r have &69 parallel processing lines&r.","&b精英工厂&r具有&69条并行处理线&r。"
"The &bSimulation Chamber&r is one of the main Blocks in &eDeep Mob Learning&r","&b模拟室&r是&e深度怪物学习&r的重要方块之一"
"JEI doesn't 100% render the complete Structure. ","JEI并非100%渲染完整结构。"
"The &bMason Table&r will help you customize stone, clay, bricks, and netherack based items.","&b石匠工作台&r会帮助您自定义基于石头、粘土、砖块和下界岩的物品。"
"It's a little-known fact that &cyou can't breathe in space&r. Well, you &ocan&r, but only out, and only once.","众所周知，&c你不能在太空呼吸&r。好吧，实际上&o可以&r。但是只能呼而不能吸"
"Enchanting with Tetra","Tetra附魔"
"I can see my house from here!","我从这里可以看到自己的房子！"
"Random Gem","随机宝石"
"Latex is an important crafting component, which is used in various recipes in FTB Skies.","胶乳是一种重要的制作组件，用于FTBSkies中的各种配方。"
"The &bRitual Brazier&r is used to cast &6rituals&r, which perform a variety of functions. Some are semi-permanent, some are single-use.","&b仪式火盆&r用于施放&6仪式&r，可以执行各种功能。有些是半永久的，有些是一次性的。"
"The Tier 4 Storage Module can hold 500 stacks.","4级存储模块可以容纳500组物品"
"Augments","扩展"
"Finally, Manasteel. ","终于，魔力钢。"
"Viewing Dependencies","查看前置"
"You've definitely already made one, since the previous quest's machines also need one. This quest is just here for symmetry. I am sorry.","你肯定已经做了一个，因为前一个任务的机器也需要一个。这个任务只是为了对称。我很抱歉"
"Hint: To waterlog a sifter without a bucket, you must place it into a block of water.","提示：要在没有桶的情况下让筛子含水，你就得将它放在水里。"
"&dMaim Plate&r - Reduces the Entities Max Health","&d致残板&r——减少实体最大生命值"
"Danks","黑盒"
"Due to their proximity to the sun, a &6Netherite Space Suit&r is required to not &cburn up&r.","由于它们靠太阳太近，所以需要&6下界合金太空服&r才能不被&c烧成灰&r"
"With Duraplast Sheets and Latex, crafting Simple Machine Frames is your next step.","下一步是工程塑胶板和胶乳合成基础机器框架。"
"New Age of Electricity","电力新时代"
"The Heart of the Kitchen","厨房之心"
"Mesh with greatness","高强合金筛网"
"Likewise, clicking the &6▶&r in the top right will show you what Quests are unlocked after completion","同样的，点击右上角的&6▶&r可以查看完成后可以解锁哪些任务。"
"&6&lItem Scroll: Deny&r","&6&l物品卷轴：拒绝&r"
"Mark Watney; Space Pirate","太空海盗——马克·沃特尼"
"I'm sure you'll be able to make one of these.","我敢肯定，你可以制作其中之一。"
"Heavy fuels can be cracked into lighter ones. This means &6Diesel&r can be turned into &6Kerosene&r, which in turn into Gasoline and then further into LPG.","重燃料可以裂解成轻燃料。意思是你可以把柴油变成&6煤油&r，然后进一步裂解成汽油和液化石油气。"
"The advanced mixer is a new block for old tricks. It can replace the functionality of much of your create and pnuematicraft TPP and mixing recipes with a more compact variant. Some recipes will require heat however, and for that you'll need to turn to an RTG Generator or Fission.","所谓高级搅拌器不过是新瓶装旧酒而已。但它可以取代大部分机械动力和气动工艺的混合配方（包括热气动加工机之类的），并且更紧凑。有些配方需要热量，所以你还得做个放射性同位素热电机或者裂变反应堆。"
"You can use this to refine the material into new affixes in the &6Reforging Table&r. To get new rarity materials of higher tier you will have to loot them.","你可以在&6重铸台&r中用它将材料精炼出新词缀。新的更高级别稀有材料只能作为战利品生成。"
"Thermodynamics","热力学"
"Much of &eOccultism&r revolves around &6summoning Demons&r and ordering them to do things. The most simple demon is the &bFoliot&r.","大部分&e神秘学&r内容都是围绕着&6召唤魔灵&r并命令他们做事。最简单的魔灵是&b魔精&r"
"For more information, see the Create, Industrial Foregoing, and Thermal Expansion chapters.","欲了解更多信息，请查看机械动力、工业先锋和热力膨胀章节。"
"Alloy Smelter","冶炼厂合金"
"Holding soil or cobble clumps in your offhand will let you target what you're digging to be more selective.","在副手拿着土块或石子，产出就会更具选择性。"
"It'll tell you what ingredients are needed, then click &6Select&r when ready. &6Throw the ingredients&r on top of the Table, and the Glyph will be crafted.","它会告诉你所需的原料，然后当你准备好了就点击&6选择&r。&6将原料扔到桌子顶部&r就能制作魔符。"
"Jetpacks","喷气背包"
"Big Reactor","大型反应堆"
"The &bPurification Chamber&r allows you to &6get more out of Raw Ores&r.","&b提纯仓&r允许你&6进一步处理粗矿&r。"
"Get Sage Seeds","得到鼠尾草种子"
"&6&lTip #3:&r","&6&l提示 #3:&r"
"Don't forget the schematic cannon to make building this easier!","别忘了用蓝图加农炮简化建造流程。"
"See the &6Lexica Botania&r for construction details.","查阅&6植物魔法辞典&r了解结构详细信息"
"Tip me over","把我倒出来"
"Once placed down in the world, you can sift them for their relevant full blocks directly like you would for rocks and soil. They don't seem to want to stay compacted forever though and &nwill randomly decay&r to a normal variant over 10 minutes. Picking them up and replacing will reset this timer.","放置在世界上后，你可以用Shift+右击挖掘它，直接获得相应的完整方块，就像挖石子和土块那样。它似乎并不想保持这样的紧密连接，它会在10分钟后&n随机衰变&r为相应的普通方块。捡起并重新放置以重置计时器。"
"Enigmatic Energy","神秘能量"
"Terrasteel","泰拉钢"
"Visit the End","造访末地"
"Observe a Crow","观察乌鸦"
"Flower Power","花的力量"
"Hoes","锄"
"A &bPyrolyzer works like a coke oven, but uses electricity to convert logs into coal, and other carbon products. Much faster than a coke oven.  ","&b热解炉&r的工作原理就像焦炉，但它使用电力将原木煅烧为木炭和其他碳产品。比焦炉快得多。"
"FTB Quests offers an easy way to check out Dependencies and Dependants of Quests.","FTB任务提供了一种简单的方式来查看任务的前置和附属。"
"&bCorporea Sparks&r are the first part of &6Corporea networks&r, which allow you to &6request items from connected inventories&r. Networks can only handle &6active requests&r, nothing is done passively, nor can it ever &oadd&r items to the network.","&b多媒体火花&r是&6多媒体网络&r的第一部分，它允许您&6从连接的容器中调用物品&r。网络只能处理&6主动请求&r，不能被动转移物品。物品也不能直接&o添加&r到网络中"
"Optional: Craft a Soul Steel pickaxe. Soul Steel tools are nice, freely repairable early game tools with high mining level.","可选：制作一把灵魂钢镐。魂钢工具很不错，是游戏早期可自由修复的工具，且具有较高的采矿等级"
"Combining &bBiodiesel&r and &bLiquified Source&r inside a Pneumaticcraft Fluid Mixer will allow you to create some &6Fuel&r.","将&b生物柴油&r和&b液化魔源&r在气动工艺流体混合器中搅拌可以制作&6燃料"
"Different rituals have different patterns that must be drawn; I can consult the &6Dictionary of Spirits&r for information on each.","不同的仪式有不同的图案，必须认真绘制；详细请查阅&6魔灵全典&r了解每种仪式的图案"
"These can be used to craft various Overworld Resources like Ghast Tears, Blaze Rods and Nether Wart","可以用来制作各种下界资源，比如恶魂之泪、烈焰棒和下界疣"
"To craft an Augment, &6throw its ingredients&r on the ground then use a &6Linking Tool&r.","制作一个扩展，需要&6将材料扔到地上&r然后使用&6连接工具&r"
"The &bAutomated Engineer's Workbench&r makes automating these recipes a breeze.","&b自动化工程师装配台&r可以让这些配方的自动化变得小菜一碟。"
"In addition to this, with some Speed upgrades, you can probably process all your resources with ease","此外，再加上一些速度升级，你也许就能轻松处理你的所有资源"
"In order to transfer attributes from one bee to another, You'll have to &6collect the Genes&r that control them.","为了将属性从一只蜜蜂转移到另一只，您必须&6收集基因&r并控制它们"
"Factories have &6multiple processing slots&r, so you can make more compact setups.","工厂有&6多个处理线&r，所以你可以将其摆放得更紧凑。"
"Andesite level materials","安山合金级别材料"
"Most resource aquisition can be found through JEI but the questbook will assist you in reaching the other dimensions and, launching your rocket to the stars above!","虽然大部分所需的资源都可以通过JEI找到，但是任务书还将指引你到达其他维度，把你的火箭发射到星辰之间！"
"Assembly Line","装配线"
"Masters of the Universe","宇宙大师"
"The full-sized &bElement Container&r can store &6100,000&r of an element, compared to the Small Container's 1000.","&b元素容器&r可以存储&6100,000&r的元素，而小型容器是1000"
"Using an &6Springaline Desh Mesh&r will allow &6Crushed End Stone&r to drop &bDimensional Shards&r.","用&6春涌戴斯筛网&r筛&6粉碎末地石&r可以掉落&b维度碎片&r。"
"To summon a blaze you'll need to put the items shown in the recipe around the soul pedestal on the 8 other pedestals: Coal, enriched peat, a crude soul crystal, and soul powder. The pedestals can accept multiple non-stacking items at once, so you can use this ritual multiple times fairly easily. One set of items will be consumed per summon.","要召唤烈焰人，您需要将配方中所示的物品放在灵魂基座周围的其他8个基座上：煤炭、富集泥炭、粗制灵魂水晶和灵魂粉，基座可同时接受多个非堆叠物品、因此，您可以非常容易地多次使用这种仪式。每次召唤将消耗一组物品"
"&bCongratulations&r on completing the final challenge of the modpack! We hope your journey through the skies has been filled with excitement and wonder. We look forward to seeing you again in your next Adventure.","&b祝贺你&r完成整合包的最后挑战！我们希望您的天空之旅充满兴奋和奇迹。我们期待在下一次探险中再次见到您"
"5g Flux network","5g通量网络"
"Each makes Mana using a different method; see the &6Lexica Botania&r for details on each.","每种产能花都用不同的方法生产魔力；查阅&6植物魔法辞典&r以了解详细信息"
"The &bItem Collector&r collects nearby item drops. There are many alternatives, so pick your favorite.","&b物品收集器&r可以收集附近的掉落物。还有很多其他选择，所以做一个你最喜欢的。"
"It can automate all &6Hammer&r recipes, as well as many others.","它可以自动化所有&6锤锻&r配方和许多其他的配方"
"Where the magic happens","魔法发生的地方"
"Make a Brass Ingot","制作黄铜锭"
"The Soul Engulfing Concentrator is a custom multiblock englufing setup.","灵魂吞噬浓缩器是定制的多方块吞噬装置"
"These filters all specialize in filtering for various enchanted conditions","这些过滤器可过滤各种附魔条件"
"The &bPlant Sower&r will &6plant seeds and saplings above itself&r.","&b播种机&r会&6种植种子和树苗&r"
"Infuse magic into a tree to make &bForce Saplings&r","给树苗灌注魔力以获得&b力量树苗&r"
"You can spend this time by using it on a block, &6rapidly accelerating it&r. Click multiple times to make it even faster.","你可以在方块上使用这个时间袋，&6加速进程&r。也可以点击多次来让进度进一步加快。"
"Range Addons","范围升级插件"
"Exploration","探索"
"&bMetal catalysts&r are your first way of producing actual ingots of the various metals in a reliable method. It uses magic for now and can be labor-intensive, so it's worth crafting in bulk. You'll soon get into easier methods of production, but you'll need a few of the ingots to get you there.","&b金属催化剂&r生产各种金属锭的第一种可靠方式。它使用魔法，可以像流水线那样堆叠，所以值得大量制作。你将很快获得更简单的生产方法，但你需要一些锭才能进行。"
"In order to progress beyond T4 tools, you'll need several new devices. First and foremost is the &bForge Hammer&r.","为了超越4级工具，你需要几个新的设备。首先，是&b锻造锤&r。"
"Branching paths!","分支路径！"
"The &bExchanging Gadget&r can quickly &6swap blocks&r.","&b更替小帮手&r可以快速&6替换方块&r。"
"Using the crafting methods described here, you'll be able to create &6highly customized tools&r that can be further enhanced and enchanted.","使用这里描述的制作方法，你就可以制作&6高度自定义的工具&r，可以进一步增强和附魔。"
"Where Wolf?","狼在哪里？"
"Never Enough!","还不够！"
"&bPure Rock&r is incredibly resiliant, and is &6Wither-proof&r.","&b至纯岩石&r具有惊人的复原力，而且&6抵抗凋灵的破坏&r"
"To obtain &6Blaze Fiber&r, one must imbue some &bMagebloom Fiber&r with &bBlaze Powder&r and &bRaw Fire Shards&r.","要获得&6烈焰纤维&r，你必须用&b烈焰粉&r和&b原始火元素碎片&r灌注&b法师之花纤维&r。"
"The &bPity Machine Generator&r is used to make the first tier of machines.","&b低级机器框架&r用于制作一级机器"
"With the Upgrade Tool in your offhand, left click a Pedestal to remove its installed Upgrade.","副手持有升级工具，左击基座，移除已安装的升级"
"You can install several useful upgrades to the minigun in the charging station to improve its functionality. ","您可以在充气站为机枪安装几种有用的升级装置，以增强其功能"
"I'm charmed","真是雅致"
"Air Bending and You!","气动工艺"
"Bearing the burden","肩负重担"
"You can squish a &bCow&r into a &6Milk Jar&r using an anvil and gravity. Now your kitchen can produce all the milk you'll need.","你可以用铁砧和万有引力把&b牛&r挤到&6奶罐&r里。这样你的厨房就可以提供一切你所需的牛奶了。"
"The &bAnimal Feeder&r will &6feed items in its work area&r using the items in its inventory, which causes them to breed.","&b饲育器&r将&6使用放入其中的物品喂食其工作区域内的动物&r，让它们繁育"
"This will allow you to turn &63 Raw Ores into 8 Shards&r.","这将允许你将&63个原矿变成8个碎片&r。"
"The Tier 1 Storage Module can hold 100 stacks.","1级存储模块可以容纳100组物品"
"All recipes are shapeless, so the slot ingredients are in doesn't matter.","所有配方都是无序的，所以材料顺序并不重要"
"To help you on your journey, we've included the handy-dandy &eCyclic&r &bFishing Net&r! Just insert your Fishing Rod, and it'll handle the rest.","为了在你的旅途中帮你一把，我们为你准备了&e循环&r的便利&b自动鱼栅&r！只需放入你的钓鱼竿，剩下的交给它就好了。"
"Kill These Numbskulls!","击杀这些笨蛋！"
"Spellcraft 101","施法101"
"Crystallized","结晶"
"Place it down, next to some &6Wooden Logs&r and gather Latex","将其放下并紧挨着一些&6木材原木&r以收集胶乳。"
"As &2Yoda&r likes to say","就像&2尤达&r喜欢说的一样"
"&eBuilding Gadgets&r offers many tools for helping to build.","&e建筑小帮手&r提供了许多帮助建造的工具。"
"When attached to an inventory, Bookwyrms will only input items that are on the scroll.","固定到容器时，书龙就只会输入卷轴上的物品。"
"These &bAugments&r make the Pedestal better at transferring items in some way. Each have 4 tiers, higher tiers being better","这些&b扩展&r让基座以更好的方式传送物品。每种有4个等级，等级越高效果越好"
"Andesite level materials","安山合金级别材料"
"No Bones About It!","毫“骨”疑问！"
"Design Tips Whittle By Whittle","设计提示：用凿子凿"
"The &bMagma Crucible&r will be able to &6melt items into fluids&r.","&b熔岩炉&r可以&6将物品熔炼成流体&r。"
"Shears","剪刀"
"The &6Lunchbox&r allows you to &6carry a variety of food&r. You can eat directly from it, rather than cluttering your inventory.","&饭盒&r可以让你能够&6携带多种种类的食物&r。你可以从中食用，而非再次占用你的背包。"
"The process of creating &bgold&r is the same as most ingots, you'll create a catalyst and combine it with primitive slurry. Unfortunately, you need gold to make the enchanting aparatus and imbuement chamber to create the catalysts. ","&b金锭&r与大多数锭的制作过程相同，制造一个催化剂并将其与基浆结合。不幸的是，制作附魔装置和灌注室也需要金锭，只有这样才能制作催化剂。"
"Place the Element Infuser ontop of an Element Container filled with one of the 4 Elements and place your Materials on the Infuser.","将元素灌注器放置在装有四种元素之一的元素容器的顶部，然后将材料放在灌注器上。"
"A long hard journey finally comes to it's completion. ","千淘万漉虽辛苦，吹尽黄沙始到金。这趟旅程终于结束了！"
"The longer the &b{item.pneumaticcraft.empty_pcb}&r are in the &6{block.pneumaticcraft.uv_light_box}&r, the higher chance of success.","&b{item.pneumaticcraft.empty_pcb}&r在&6{block.pneumaticcraft.uv_light_box}&r中处理的时间越长，成功的几率就越高。"
"Tetra crafting can become a bit of a mess, with &6needing multiple tools&r to perform various functions all &6in your inventory&r at the same time.","Tetra合成可能搞得乱七八糟，因为&6需要同时使用物品栏中的各种工具&r才能制作。。"
"Once you have collected enough Latex, be sure to grab some","一旦你收集了足够多的胶乳，务必要先接一桶。"
"Sneak right-clicking a tamed Crow will let you &6give it orders&r. you can give it a weapon to &6defend you with&r, and a helmet to protect itself with.","潜行右击一只驯服的乌鸦可以给它&6下命令&r。你可以给它一把武器让它&6保护你&r，给它一个头盔让它保护它自己。"
"Welcome to Create: New Age! With this mod you'll be able to turn rotational energy into Forge Energy (FE). To accomplish this you need to place a generator coil surrounded by magnetic blocks. ","欢迎来到【机械动力：新时代】！有了这个模组，您就能将应力转化为FE能量。为此，您需要在发电机线圈周围放置磁性方块。"
"Once the bar is full on the &b{item.pneumaticcraft.empty_pcb}&r it means its Etching Success is at 100% and it ready to be tossed into the &6{block.pneumaticcraft.etching_tank}&r","一旦&b{item.pneumaticcraft.empty_pcb}&r的耐久条满了，就意味着蚀刻成功的概率来到了100%，准备把它丢进&6{block.pneumaticcraft.etching_tank}&r吧。"
"Monster Hunter","怪物猎人"
"Make a Scribe's Table","制作一个抄写台"
"A Howling Good Job","一份嚎工作"
"&eDark Utilities&r offers you a few &bDamaging Plates&r that can be used inside your &6Mobfarm&r","&eDark Utilities&r提供了一些&b伤害板&r， 可以在你的&6怪物农场&r中使用"
"Twisting turning through the nether","乾坤倒转"
"Combining Elementalcraft Runes with an Ars Nouveau Element, some Manasteel and Manapowder will result into Botania Runes","将元素工艺符文、新生魔艺元素、魔力钢和魔力尘放置于符文祭坛制作植物魔法符文"
"Black Hole Units","黑洞存储单元"
"May the Force be with you!","愿原力与你同在！"
"Sky High Villagers","天空村民"
"&bBlackstone&r is a tier 3 hammer material, which means using it twice makes a &6tier 4 Hammer&r.","&b黑石&r是3级锤子材料，这意味着两端都使用它就可以制作&64级锤子&r。"
"Make a Latex Processing Unit","制作胶乳加工机"
"The anvil slot in the top left, and the furnace menu in the bottom left, both are only used by Djinni Machine Operator.","左上角的铁砧槽和左下角的熔炉菜单，都只有巨灵操纵时才能使用"
"Nothing Goes Over My Head.","没有什么能超出我的头脑。"
"Crystallized Amber","琥珀结晶"
"There's only one tier","只有一级"
"IV - Venus Dust or Bust","IV - 金星"
"With the improved &bAndesite Mesh&r, you're able to collect &6more varied resources&r from the Sifter.","随着改进为&b安山合金筛网&r，你可以从筛子中收集&6更多不同的资源&r。"
"Casting the spell &6costs Source&r from a nearby Source Jar.","施放法术需要&6消耗&r附近的魔源罐的&6魔源&r。"
"Deeper we go","前往更深处"
"Storage Part","存储元件"
"The first step to that is collecting... &bSmashed Bee Material&r. This is done by placing a piston facing down above the bottler with a block of air between them. ","第一步是收集…&b压榨蜜蜂原料&r。具体做法是在装瓶机上方放置一个朝下的活塞，活塞与装瓶机之间空一个方块"
"Sheep provide a nice source of &bMutton&r as well as Wool.","羊是提供&b羊肉&r和羊毛的不错来源。"
"One step closer to space! The &bNASA Workbench&r will help you assemble your first rocket.  ","离太空更进一步！&bNASA工作台&r会帮你组装你的第一个火箭。"
"Place the Upgrade you wish to modify into the inventory, and place the modification ingredients into the appropriate Pedestals. If done correctly, the modified Upgrade will move to the inventory's Pedestal!","将想要强化的升级物品放入箱子，并将配方需要的材料放入相应的基座中。如果操作正确，修改后的升级将移动到容器所在的基座上！"
"Soaring through the skies","在天空中飞翔"
"Too much of a good thing","好东西多到装不下"
"III - Mars Attacks!","III - 火星"
"&bHoney&r can be converted into Sugar, or be used in many food recipes. You can also make &6Honey Treats&r, which &6attract Bees&r when used on Nests!","&b蜂蜜&r可转化为糖，也可用于许多食物的合成配方中。您还可以制作&6蜂蜜小食&r，在蜂巢上使用以&6吸引蜜蜂&r"
"Still stilling the distilled","蒸完了接着蒸"
"I'd be concerned if you can't!","如果你不能，我会很担心的！"
"Meat Injections","肉汤注射器"
"The Camoflage Applicator can make camoflagable blocks such as tubes and heat pipes look like other blocks. ","伪装涂覆器可以让管道和热管等可伪装方块看起来与其他方块无异"
"For more information on how Soul Engulfing ","欲了解更多灵魂吞噬信息，请"
"This is Not a Drill","这不是钻头"
"&6Controller Extensions&r can be used to connect to Drawers further away. The Controller Extension is linked to both the Controller and the distant Drawers.","&6控制拓展器&r可以连接更远的抽屉。作为控制器和远处的抽屉之间的桥接。"
"Charms","护符"
"While powered with FE, hold space to fly, and hold space and control to boost like an Elytra.","用FE供能时，可以按住空格飞行，按住空格并按住方向键可以像鞘翅一样飞行"
"Sneak and right-clicking will let you browse and select anybook contained within. To add more books, simply combine the tome with any other book in a crafting grid.","潜行右击以浏览并选择其中一本书。要添加更多的书，只需将宝典与其他书合成。"
"Toss in spirit fire to finish the conversion.","扔入灵火来完成转化"
"&bBiomass&r is needed to get into producing peat for the material generator. This will be your first form of FE production and peat will remain useful throughout the game later for methane byproducts. ","&b生物质&r用来制作泥炭，用以供使用物质发电机。这是你的第一种FE生产方式。泥炭生产时产生的甲烷副产物在之后的游戏过程中仍然有用。"
"Waterlogged Sand","水中筛沙"
"Prosthetic","人造义体"
"Tier 4 Cutting Tool","4级切割工具"
"You'll notice in the Workbench menu, your tool has &6several stats important for upgrading it&r. These are Integrity, Honing, and Settling.","你会在加工台菜单中看到，你的工具有&6几组数据对升级&r很重要。分别是完整度、打磨和稳固度。"
"I Got Better","我好多了"
"Also gives Sawdust!","还给锯末呢！"
"&bEquipment Tomes&r can be enchanted like Books, but &6only accept enchantments of a specific type&r.","&b装备宝典&r可以像书一样附魔，但&6只接受特定类型的附魔&r。"
"The &bString Mesh&r isn't very sturdy or finely woven. It'll get &6the most basic resources&r, but not much else.","&b线筛网&r不是很坚韧细密。只能获得&6最基本的资源&r，也没有太多副产物。"
"Shortly after, you want to focus on a more permanent Solution. You next step up will be the","不久之后，你会希望有一个更持久的解决方案。下一步将是"
"&6Volatile Redstone&r needs to be stilled into Redstone Acid and Destabilized Redstone for further processing.","&6挥发红石&r需要蒸馏成红石酸和不稳红石才能进行下一步处理。"
"Ok Bloomer","到此为止吧孩子们"
"By &6throwing Demon Dream Fruit&r on the ground, and &6lighting it on fire&r, it will create &bSpirit Fire&r.","投掷&6魔鬼之梦果&r到地面上，并&6点燃它&r，将产生&b灵火&r"
"You can still create the tradition water wheels and windmills that don't break but they produce VERY minimal SU, mostly for running a small farm or decorative uses.","你仍然可以制造传统的水车和风车。它们不会损坏，但产生的应力非常小，主要用于驱动小型农场或装饰。"
"Baby, you're a firework...","Baby， you're a firework..."
"Starting off with the Handcrank, you quickly want to move towards","从手摇曲柄开始，你很快想要改成"
"They can be &6upgraded in the Enchanting Apparatus&r to increase their tier.","其可以&6在附魔装置中升级&r。"
"Sifting Dust with the &6Manasteel Mesh&r will yield &bCinnebar&r, an intermediate resource needed for Quicksilver.","用&6魔力钢筛网&r筛尘土可以得到朱砂，这是水银所需的中级原料。"
"The Pressure Chamber is a Multiblock that can be ","压力室是一个多方块结构，可以有以下大小："
"The &bPulverizer&r &6crushes items&r.","&b磨粉机&r用来&6粉碎物品&r。"
"Base Expansion","基地扩张"
"But how do I Generate Water in Orbit?","但是我该怎么在轨道上生成水？"
"In order to make crushed end stone you will need a crusher spirit foliot. The foliot can take endstone and crush it to allow you to make purple chalk for the penultimate tier circle magic.","为了制作粉碎末地石，你需要一个碎矿者魔灵，魔灵会拾取末地石粉碎，让你可以制作倒数第二层圆环魔法的紫色粉笔"
"You probably want to have atleast 2 &bThermal Evaporation Chambers&r.","你可能要至少2个&b热力蒸馏塔&r。"
"Addons","插件"
"Help the bees find their honies","帮助蜜蜂找到它们的小宝贝"
"The &bSink&r will &6provide Water to the Cooking Table&r.","&b水槽&r可以&6向烹饪桌提供水&r。"
"Luminous Processing","发光处理"
"Ares","阿瑞斯"
"They scale your &6Thermal Expansion&r Machines by the number shown in the Tooltip.","它们按工具提示中显示的数字加速热力机器。"
"Let it grow, let it Growwww","让它生，让它生。"
"The &bMechanical Bearing&r is the foundation of most Create &6contraptions&r, which are basically freeform moving multiblocks.","&b动力轴承&r是大多数机械动力&6动态结构&r的基础，这些装置基本上都是自由移动的多方块结构。"
"Make sure to visit the &dAir Bending and You&r Chapter for more pneumaticcraft specific quests.","查看&d气动工艺&r章节，了解更多气动工艺的具体任务。"
"Electrifying!","抛瓦！"
"The &bBlast Furnace&r will cook iron ingots and coked coal into steel.","&b高炉&r会把铁锭和焦煤变成钢。"
"With access to Desh, you can make the &bTier 2 Rocket&r.","有了戴斯，你就可以制作&b二级火箭&r了！"
"Redstone Request","红石请求"
"For the Fat Stacks","巨额堆叠"
"&bBookwyrms&r are required for the Lectern to function, as they are what actually connect the inventories to the Lectern. The more the Lectern has, the more inventories can be linked.","讲台需要&b书龙&r才能运作。因为书龙是讲台和容器连接的媒介。更多的书龙可以连接更多的容器。"
"Depending on the item you will get back some components based on the rarity of the item destroyed.","取决于分解的物品的稀有度，你可以获得相应的组件。"
"[\""\"",\""Tea                              \"",{\""text\"":\""[ Toggle ]\"",\""bold\"":true,\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/events toggle ftbskies:tea\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""Toggles the Tea event. Basicly tells you the server is getting a cup of tea.\""]}}]","[\""\"",\""喝茶　　　　　　　　　　　　　　　　\"",{\""text\"":\""[ 开关 ]\"",\""bold\"":true,\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/events toggle ftbskies:tea\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""开关喝茶事件。基本上就是告诉你服务器正在喝茶。\""]}}]"
"Instead, get them by transmuting &6Source Gem Blocks&r with a Pure Daisy.","不过你可以使用白雏菊转化魔源宝石块来获得惰性水晶块"
"Iron Chests","更多箱子"
"ctf_turbine","涡轮机"
"You can get &bNether Bricks&r by &6tossing Bricks into &eOccultism&r's Spiritfire&r. That can be placed under the Material Generator for a &6limitless source of Netherrack&r!","你可以通过&6将砖块扔进&e神秘学&r的灵火&r来得到&b下界砖&r。可以放置在材料生成器下以获得&6无限下界岩&r！"
"Tools","工具"
"Compact Machines","压缩空间机械"
"Shears for food and fun","一剪为快"
"After growing Grass on Grass Blocks with bonemeal, you can &6harvest it for&r &bSage Seeds&r.","对草方块使用骨粉让其长出草之后，再&6收割&r就能获得&b鼠尾草种子&r。"
"They also come in a fancy &5purple&r color","它们也涂上了花哨的&5紫色&r"
"Pipes are for suckers","管道就是用来吸~的"
"You may occasionally run into a &bLoot Bee&r that spawns around your island. They'll &6give you gifts&r if you stay nearby!","你偶尔会邂逅在你的岛屿周围生成的&b战利品蜜蜂&r。如果你待在附近，它们会&6送你礼物&r！"
"To inscribe an item, place on the Scribes Table and use blocks and items on the table while sneaking. ","要铭刻物品，需要将其放置在抄写台上，然后用物品或方块潜行右击。"
